IDResposta;NRPeso;NOAtributoQuestionario
65494;7,580995149;N4
66346;7,580995149;N4
67835;4,164002384;N3
64864;1,205075837;N2
66842;1,205075837;N2
69105;0;N1
68307;7,580995149;N4
68520;7,580995149;N4
64411;4,164002384;N3
63381;4,164002384;N3
68321;6,369456131;N4
68264;1,01248946;N2
67319;1,01248946;N2
68555;1,01248946;N2
63644;6,369456131;N4
69765;0;N1
69060;0;N1
69111;0;N1
66510;6,369456131;N4
64124;6,369456131;N4
69271;0,65;"N2 "
66515;0;N1
67098;0;N1
64426;0;N1
69062;0;N1
69963;1,773439708;N3
69865;0,65;"N2 "
69116;0;N1
69769;0;N1
64588;0;N1
66610;0,53062068;N3
68275;0,53062068;N3
63658;0,193079303;N2
67326;0,193079303;N2
69272;0,193079303;N2
63112;0;N1
63352;0;N1
62863;0;N1
69273;0;N1
68658;0,72946978;N2
68444;0,72946978;N2
61984;0;N1
64613;2,52059979;N3
68462;2,52059979;N3
69778;0,72946978;N2
68295;0,72946978;N2
65786;0,364069808;N5
62825;0,246927647;N4
63668;0,246927647;N4
64065;0;N1
64140;0;N1
69332;0;N1
66859;0;N1
68298;0;N1
68656;0;N1
69973;0;N1
69974;1,783570522;N3
65978;1,783570522;N3
69528;0;N1
69780;0;N1
65787;0;N1
66860;0;N1
67856;0;N1
69065;0;N1
69700;0;N1
67412;0;N1
66082;0;N1
69843;0;N1
66484;0;N1
67173;0;N1
65445;0;N1
64141;0;N1
67641;0;N1
68080;0;N1
62840;0;N1
63669;0;N1
66750;0;N1
69844;0;N1
66780;0;N1
69701;0;N1
67368;0;N1
66083;0;N1
67270;0;N1
66755;0;N1
64211;0;N1
67644;0;N1
65788;0,958285627;N3
69975;0,958285627;N3
66861;0;N1
65126;0;N1
62854;0;N1
67498;0;N1
69781;0;N1
63747;0;N1
66503;0;N1
65951;0;N1
67670;0;N1
68087;0;N1
67857;0;N1
69066;0;N1
69702;0,677610265;N5
62849;0,677610265;N5
63748;0,677610265;N5
67502;0,259181098;N4
66759;0,072105206;N3
69782;0;N1
64079;0;N1
66989;4,956450125;N5
67378;2,52059979;N3
66134;0,72946978;N2
68312;0,72946978;N2
68667;0,72946978;N2
66539;0;N1
69787;0;N1
61998;0;N1
69708;0;N1
69981;0;N1
64793;2,478225063;N5
69643;0;N1
66378;0;N1
69982;0;N1
68668;1,427866529;N4
66822;1,427866529;N4
67372;1,427866529;N4
68313;1,427866529;N4
67779;0,226973823;N2
64446;0;N1
67336;0,823647994;N4
66825;0,823647994;N4
67546;0,38227129;N3
64950;0,38227129;N3
66541;0;N1
67980;0;N1
67679;0;N1
67865;0;N1
68669;0;N1
68340;0;N1
68672;0;N1
67414;0;N1
69847;0,247696378;N4
67105;0,156624752;N3
69867;0,232161534;N2
69475;0;N1
68698;0;N1
69985;0;N1
64092;2,470679079;N5
69792;0;N1
68422;0;N1
68355;0,059214839;N2
68682;0,059214839;N2
68563;0,059214839;N2
68167;0;N1
67439;0;N1
69691;0,059214839;N2
69652;0,059214839;N2
66913;0;N1
67298;1,101805927;N5
66908;0,170998791;N3
64099;0,059214839;N2
69078;0,059214839;N2
66659;0,367268642;N3
66667;0,367268642;N3
64259;0,106424822;N2
67722;0,106424822;N2
69798;0;N1
69486;0;N1
68710;0;N1
67438;0;N1
67995;0;N1
69577;0;N1
68399;2,52059979;N3
67735;2,52059979;N3
67879;2,52059979;N3
66556;0,72946978;N2
69371;0,72946978;N2
69803;0;N1
65539;4,589011489;N4
69079;4,589011489;N4
64884;4,589011489;N4
66922;4,589011489;N4
65148;4,589011489;N4
62014;2,52059979;N3
68335;0,978458281;N3
64224;0,25785511;N2
66975;0;N1
68391;0;N1
68719;0;N1
67444;0;N1
63470;2,935374843;N5
63771;2,935374843;N5
69661;1,691260229;N4
62016;0;N1
64111;0;N1
66944;0;N1
68752;0;N1
67200;0,356035959;N2
65308;0,356035959;N2
69317;0,356035959;N2
66593;0,356035959;N2
67678;0,356035959;N2
69697;0;N1
66957;0;N1
68396;0;N1
