IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
8784;"197    ";Terminal Aquaviário de Manaus;2015.2;Auditoria Ambiental;6,440173894;N3
6051;"149    ";Terminal Marítimo de Ponta da Madeira;2015.2;Auditoria Ambiental;6,440173894;N3
6180;"241    ";Terminal Marítimo Alfandegado Privativo de Uso Misto de Praia Mole;2015.2;Auditoria Ambiental;6,440173894;N3
6505;"131    ";Terminal de Barcaças Oceânicas;2015.2;Auditoria Ambiental;6,440173894;N3
7397;"158    ";Terminal Aquaviário de São Francisco do Sul;2015.2;Auditoria Ambiental;6,440173894;N3
7681;"215    ";Portocel - Terminal Especializado de Barra do Riacho;2015.2;Auditoria Ambiental;6,440173894;N3
7798;"289    ";Companhia Portuária Vila Velha - CPVV;2015.2;Auditoria Ambiental;6,440173894;N3
4404;"141    ";Terminal Aquaviário de Guamaré;2015.2;Auditoria Ambiental;6,440173894;N3
4496;"275    ";Porto Chibatão;2015.2;Auditoria Ambiental;6,440173894;N3
4583;"175    ";J. F. de Oliveira - Manaus;2015.2;Auditoria Ambiental;6,440173894;N3
4666;"224    ";Terminal Fluvial de Juruti;2015.2;Auditoria Ambiental;6,440173894;N3
4979;"208    ";Terminal da Ilha Guaíba - TIG;2015.2;Auditoria Ambiental;6,440173894;N3
5030;"211    ";Terminal Marítimo Dow;2015.2;Auditoria Ambiental;6,440173894;N3
3390;"191    ";Terminal Portuário Braskarne;2015.2;Auditoria Ambiental;6,440173894;N3
3544;"277    ";Chibatão Navegação e Comércio;2015.2;Auditoria Ambiental;6,440173894;N3
3808;"160    ";Terminal Marítimo Ponte do Thun;2015.2;Auditoria Ambiental;6,440173894;N3
3939;"360    ";Flexibrás Açu;2015.2;Auditoria Ambiental;6,440173894;N3
4121;"181    ";Terminal Fogás;2015.2;Auditoria Ambiental;6,440173894;N3
4171;"170    ";Portonave - Terminais Portuários de Navegantes;2015.2;Auditoria Ambiental;6,440173894;N3
1854;"217    ";Brasco Rio;2015.2;Auditoria Ambiental;6,440173894;N3
2079;"205    ";Cattalini Terminais Marítimos;2015.2;Auditoria Ambiental;6,440173894;N3
2208;"203    ";Terminal Marítimo Dow Aratu - Bahia;2015.2;Auditoria Ambiental;6,440173894;N3
2328;"213    ";Yara Brasil Fertilizantes;2015.2;Auditoria Ambiental;6,440173894;N3
2601;"235    ";Sucocítrico Cutrale;2015.2;Auditoria Ambiental;6,440173894;N3
3143;"212    ";Terbian - Terminal Bianchini;2015.2;Auditoria Ambiental;6,440173894;N3
488;"226    ";Porto Itapoá Terminais Portuários;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
1756;"177    ";Terminal Marítimo Ponta Ubu;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
4123;"181    ";Terminal Fogás;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
4175;"170    ";Portonave - Terminais Portuários de Navegantes;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
4668;"224    ";Terminal Fluvial de Juruti;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
