IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
55539;"MCZ    ";Maceió;2019;Espécies Exóticas/Invasoras;0,978458281;N3
55553;"FNO    ";Forno;2019;Fornecimento de Energia para Embarcações;0,211685277;N3
55575;"FNO    ";Forno;2019;Internalização dos Custos Ambientais;3,7;N4
55577;"SUA    ";"Suape ";2019;Poluentes Atmosféricos;0,368436802;N4
55600;"FNO    ";Forno;2019;Comunicação das Ações Ambientais;0,034126117;N2
55603;"SSA    ";Salvador;2019;Licenciamento Ambiental;2,42002029;N2
55605;"FNO    ";Forno;2019;Agenda Ambiental Local;1,783570522;N3
55606;"FNO    ";Forno;2019;Agenda Ambiental Institucional;0,958285627;N3
55607;"SSA    ";Salvador;2019;Quantidade e Qualidade dos Técnicos;3,540049473;N3
55608;"SSA    ";Salvador;2019;Treinamento e Capacitação Ambiental;1,746619828;N3
55610;"FNO    ";Forno;2019;Certificações Voluntárias;0,027957791;N2
55615;"SSA    ";Salvador;2019;Auditoria Ambiental;1,417726452;N2
55621;"FNO    ";Forno;2019;Promoção de Ações de EA;4,956450125;N5
55622;"FNO    ";Forno;2019;Ações de Promoção da Saúde;0;N1
55627;"SFS    ";São Francisco do Sul;2019;Consumo e Eficiência no Uso de Energia;1,503026407;N3
55628;"FNO    ";Forno;2019;Planos de Contingência de Saúde;0;N1
55634;"FNO    ";Forno;2019;Qualidade Ambiental do Corpo Hídrico;0,132375982;N2
55638;"RIG    ";"Rio Grande ";2019;Comunicação das Ações Ambientais;0,089028353;N3
55639;"FNO    ";Forno;2019;Drenagem Pluvial;0,068742829;N2
55640;"RIG    ";"Rio Grande ";2019;Agenda Ambiental Local;0;N1
55642;"RIG    ";"Rio Grande ";2019;Agenda Ambiental Institucional;0;N1
55643;"FNO    ";Forno;2019;Ações para Redução e Reúso da Água;0;N1
55644;"RIG    ";"Rio Grande ";2019;Certificações Voluntárias;0;N1
55654;"FNO    ";Forno;2019;Passivos Ambientais;1,36965767;N4
55666;"SUA    ";"Suape ";2019;Poluição Sonora;0,367268642;N3
55671;"FNO    ";Forno;2019;Poluentes Atmosféricos;0,059214839;N2
55672;"FNO    ";Forno;2019;Poluição Sonora;0;N1
55677;"FNO    ";Forno;2019;PGRS;4,589011489;N4
55678;"FNO    ";Forno;2019;Monitoramento de Fauna e Flora;0,978458281;N3
55679;"FNO    ";Forno;2019;Animais Sinantrópicos;2,935374843;N5
55680;"FNO    ";Forno;2019;Espécies Exóticas/Invasoras;0,978458281;N3
55681;"SFS    ";São Francisco do Sul;2019;Ações para Redução e Reúso da Água;0,998742028;N3
55682;"SFS    ";São Francisco do Sul;2019;Passivos Ambientais;1,235339539;N5
55687;"PET    ";Pelotas;2019;Quantidade e Qualidade dos Técnicos;2,305298777;N2
55688;"PET    ";Pelotas;2019;Treinamento e Capacitação Ambiental;2,090917833;N3
55690;"PET    ";Pelotas;2019;Auditoria Ambiental;6,440173894;N3
55691;"PET    ";Pelotas;2019;Base de Dados Oceano Meteorológicas;0;N1
55697;"PET    ";Pelotas;2019;Prevenção de Riscos;4,164002384;N3
55698;"PET    ";Pelotas;2019;Ocorrência de Acidentes Ambientais;4,404092577;N5
55699;"RIG    ";"Rio Grande ";2019;Cargas Perigosas;0;N1
55708;"PET    ";Pelotas;2019;PGRS;2,52059979;N3
55709;"PET    ";Pelotas;2019;Passivos Ambientais;0,684828835;N4
55710;"PET    ";Pelotas;2019;Área Dragada e de Disposição;0,449508483;N2
55712;"IQI    ";Itaqui;2019;Ações de Retirada de Resíduos do Navio;6,36;N5
55713;"IQI    ";Itaqui;2019;Papel da Autoridade Portuária;3,789571309;N5
55714;"IQI    ";Itaqui;2019;"Licenciamento Ambiental das Empresas ";2,722464478;N5
55717;"IBB    ";"Imbituba ";2019;Base de Dados Oceano Meteorológicas;1,727190873;N3
55723;"IBB    ";"Imbituba ";2019;Prevenção de Riscos;6,661841377;N4
55724;"IBB    ";"Imbituba ";2019;Ocorrência de Acidentes Ambientais;3,870120688;N5
55729;"IBB    ";"Imbituba ";2019;Ações de Retirada de Resíduos do Navio;3,665834739;N4
55734;"IBB    ";"Imbituba ";2019;Cargas Perigosas;3,181236951;N5
55751;"RIG    ";"Rio Grande ";2019;Papel da Autoridade Portuária;3,789571309;N5
55752;"SSA    ";Salvador;2019;Base de Dados Oceano Meteorológicas;1,727190873;N3
55754;"SSA    ";Salvador;2019;Prevenção de Riscos;3,659140104;N3
55756;"RIG    ";"Rio Grande ";2019;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
55757;"SSA    ";Salvador;2019;Ocorrência de Acidentes Ambientais;3,870120688;N5
55768;"SSA    ";Salvador;2019;Ações de Retirada de Resíduos do Navio;6,36;N5
55810;"SUA    ";"Suape ";2019;PGRS;4,589011489;N4
55811;"SSA    ";Salvador;2019;Cargas Perigosas;3,181236951;N5
55828;"SSA    ";Salvador;2019;Consumo e Eficiência no Uso de Energia;0;N1
55846;"SSA    ";Salvador;2019;Tipos de Energia Utilizados;0,163638656;N2
55847;"SSA    ";Salvador;2019;Fornecimento de Energia para Embarcações;0;N1
55889;"SSA    ";Salvador;2019;Internalização dos Custos Ambientais;5,970455341;N5
55903;"PET    ";Pelotas;2019;Certificações Voluntárias;0;N1
55913;"PET    ";Pelotas;2019;Animais Sinantrópicos;1,691260229;N4
55933;"PET    ";Pelotas;2019;Consumo e Eficiência no Uso de Energia;0;N1
55934;"PET    ";Pelotas;2019;Tipos de Energia Utilizados;0;N1
55935;"PET    ";Pelotas;2019;Fornecimento de Energia para Embarcações;0,211685277;N3
55955;"PET    ";Pelotas;2019;Ações para Redução e Reúso da Água;0;N1
55956;"PET    ";Pelotas;2019;Espécies Exóticas/Invasoras;0;N1
55960;"FOR    ";"Fortaleza ";2019;Licenciamento Ambiental;12,59039418;N3
55962;"PVH    ";"Porto Velho ";2019;Ações de Promoção da Saúde;0,261427403;N3
55963;"FOR    ";"Fortaleza ";2019;Quantidade e Qualidade dos Técnicos;3,540049473;N3
55964;"PVH    ";"Porto Velho ";2019;Promoção de Ações de EA;2,552180338;N4
55965;"FOR    ";"Fortaleza ";2019;Treinamento e Capacitação Ambiental;0,460290292;N2
55967;"PVH    ";"Porto Velho ";2019;Certificações Voluntárias;0;N1
55968;"IQI    ";Itaqui;2019;PEI dos Terminais;1,516842941;N5
55969;"PVH    ";"Porto Velho ";2019;Comunicação das Ações Ambientais;0,028168428;N2
55970;"RIG    ";"Rio Grande ";2019;Poluição Sonora;0,106424822;N2
55971;"PVH    ";"Porto Velho ";2019;Agenda Ambiental Local;0;N1
55972;"PVH    ";"Porto Velho ";2019;Agenda Ambiental Institucional;0,790989479;N3
55973;"SUA    ";"Suape ";2019;Monitoramento de Fauna e Flora;0,978458281;N3
55981;"IQI    ";Itaqui;2019;PGRS dos Terminais;1,020759603;N5
55984;"IBB    ";"Imbituba ";2019;Consumo e Eficiência no Uso de Energia;0,55;"N2 "
55985;"IBB    ";"Imbituba ";2019;Tipos de Energia Utilizados;0;N1
55986;"IBB    ";"Imbituba ";2019;Fornecimento de Energia para Embarcações;0;N1
55994;"IBB    ";"Imbituba ";2019;Internalização dos Custos Ambientais;5,970455341;N5
56011;"IBB    ";"Imbituba ";2019;Comunicação das Ações Ambientais;0;N1
56012;"IBB    ";"Imbituba ";2019;Agenda Ambiental Local;0;N1
56013;"IBB    ";"Imbituba ";2019;Agenda Ambiental Institucional;0;N1
56015;"IBB    ";"Imbituba ";2019;Certificações Voluntárias;0;N1
56024;"IBB    ";"Imbituba ";2019;Papel da Autoridade Portuária;3,789571309;N5
56025;"IBB    ";"Imbituba ";2019;"Licenciamento Ambiental das Empresas ";2,722464478;N5
56026;"FOR    ";"Fortaleza ";2019;Base de Dados Oceano Meteorológicas;0,45517014;N2
56032;"IBB    ";"Imbituba ";2019;PEI dos Terminais;1,516842941;N5
56035;"IBB    ";"Imbituba ";2019;Auditoria Ambiental dos Terminais;0,367466758;N4
56036;"IBB    ";"Imbituba ";2019;PGRS dos Terminais;1,020759603;N5
56037;"IBB    ";"Imbituba ";2019;Certificação das Empresas;0,16893536;N4
56038;"IBB    ";"Imbituba ";2019;Programa de EA nos Terminais;0,654266288;N5
56043;"IBB    ";"Imbituba ";2019;Promoção de Ações de EA;4,956450125;N5
56045;"FOR    ";"Fortaleza ";2019;Prevenção de Riscos;11,56238481;N5
56046;"FOR    ";"Fortaleza ";2019;Ocorrência de Acidentes Ambientais;3,870120688;N5
56052;"FOR    ";"Fortaleza ";2019;Ações de Retirada de Resíduos do Navio;6,36;N5
56057;"PET    ";Pelotas;2019;Monitoramento de Fauna e Flora;0,25785511;N2
56058;"VIX    ";Vitória;2019;Base de Dados Oceano Meteorológicas;1,727190873;N3
56064;"VIX    ";Vitória;2019;Prevenção de Riscos;3,659140104;N3
56079;"PET    ";Pelotas;2019;Poluição Sonora;0,106424822;N2
56088;"VIX    ";Vitória;2019;Ações de Retirada de Resíduos do Navio;6,36;N5
56089;"PET    ";Pelotas;2019;Planos de Contingência de Saúde;0;N1
56110;"FOR    ";"Fortaleza ";2019;Cargas Perigosas;3,181236951;N5
56115;"FOR    ";"Fortaleza ";2019;Consumo e Eficiência no Uso de Energia;1,503026407;N3
56117;"PET    ";Pelotas;2019;Ações de Promoção da Saúde;0,075657941;N2
56136;"PET    ";Pelotas;2019;Poluentes Atmosféricos;0,059214839;N2
56154;"PET    ";Pelotas;2019;Qualidade Ambiental do Corpo Hídrico;0,38227129;N3
56157;"IQI    ";Itaqui;2019;Promoção de Ações de EA;4,956450125;N5
56158;"FOR    ";"Fortaleza ";2019;Poluição Sonora;0,367268642;N3
56166;"FOR    ";"Fortaleza ";2019;Fornecimento de Energia para Embarcações;0,074078302;N2
56173;"FOR    ";"Fortaleza ";2019;Certificações Voluntárias;0;N1
56181;"FOR    ";"Fortaleza ";2019;PGRS;7,964752347;N5
