IDResposta;NRPeso;NOAtributoQuestionario
36663;1,503026407;N3
36663;1,503026407;N3
36663;1,503026407;N3
36663;1,503026407;N3
36663;1,503026407;N3
36663;1,503026407;N3
41620;1,503026407;N3
41620;1,503026407;N3
43659;1,503026407;N3
43659;1,503026407;N3
36663;1,503026407;N3
36663;1,503026407;N3
38445;0,55;"N2 "
38445;0,55;"N2 "
38445;0,55;"N2 "
36817;0;N1
36817;0;N1
36733;0,449711874;N3
36733;0,449711874;N3
36733;0,449711874;N3
36733;0,449711874;N3
36733;0,449711874;N3
36733;0,449711874;N3
41626;0,449711874;N3
41626;0,449711874;N3
36733;0,449711874;N3
36733;0,449711874;N3
36819;0;N1
36819;0;N1
38446;0;N1
38446;0;N1
35424;0;N1
35424;0;N1
38446;0;N1
41635;0,074078302;N2
41635;0,074078302;N2
51765;0;N1
51765;0;N1
36820;0;N1
36820;0;N1
51765;0;N1
51765;0;N1
51765;0;N1
51765;0;N1
38449;0;N1
51765;0;N1
51765;0;N1
38449;0;N1
38449;0;N1
35425;0;N1
35425;0;N1
36821;5,970455341;N5
36821;5,970455341;N5
38453;5,970455341;N5
38453;5,970455341;N5
41640;5,970455341;N5
41640;5,970455341;N5
38453;5,970455341;N5
51766;1,406354312;N3
51766;1,406354312;N3
51766;1,406354312;N3
51766;1,406354312;N3
51766;1,406354312;N3
51766;1,406354312;N3
51766;1,406354312;N3
51766;1,406354312;N3
47234;0,490177546;N2
47234;0,490177546;N2
36926;0,300511017;N5
36926;0,300511017;N5
36827;0,300511017;N5
36827;0,300511017;N5
36926;0,300511017;N5
36926;0,300511017;N5
36926;0,300511017;N5
36926;0,300511017;N5
41647;0,300511017;N5
41647;0,300511017;N5
36926;0,300511017;N5
36926;0,300511017;N5
35501;0,089028353;N3
35501;0,089028353;N3
38457;0;N1
38457;0;N1
38457;0;N1
36927;1,472197306;N3
36927;1,472197306;N3
36927;1,472197306;N3
36927;1,472197306;N3
36927;1,472197306;N3
36927;1,472197306;N3
42330;1,472197306;N3
42330;1,472197306;N3
36927;1,472197306;N3
36927;1,472197306;N3
36829;0;N1
36829;0;N1
38458;0;N1
38458;0;N1
35502;0;N1
35502;0;N1
38458;0;N1
36928;0,790989479;N3
36928;0,790989479;N3
36928;0,790989479;N3
36928;0,790989479;N3
36928;0,790989479;N3
36928;0,790989479;N3
42331;0,790989479;N3
42331;0,790989479;N3
36928;0,790989479;N3
36928;0,790989479;N3
48223;0;N1
48223;0;N1
38460;0;N1
38460;0;N1
35503;0;N1
35503;0;N1
38460;0;N1
42332;0,559314025;N5
42332;0,559314025;N5
36929;0;N1
36929;0;N1
36831;0;N1
36831;0;N1
36929;0;N1
36929;0;N1
36929;0;N1
36929;0;N1
38461;0;N1
36929;0;N1
36929;0;N1
38461;0;N1
38461;0;N1
35504;0;N1
35504;0;N1
36930;3,789571309;N5
36930;3,789571309;N5
36832;3,789571309;N5
36832;3,789571309;N5
36930;3,789571309;N5
36930;3,789571309;N5
35505;3,789571309;N5
35505;3,789571309;N5
36930;3,789571309;N5
36930;3,789571309;N5
42624;3,789571309;N5
36930;3,789571309;N5
36930;3,789571309;N5
42624;3,789571309;N5
42624;3,789571309;N5
43158;3,789571309;N5
43158;3,789571309;N5
42429;2,722464478;N5
42429;2,722464478;N5
36840;2,722464478;N5
36840;2,722464478;N5
42429;2,722464478;N5
42429;2,722464478;N5
35512;2,722464478;N5
35512;2,722464478;N5
42429;2,722464478;N5
42429;2,722464478;N5
38464;2,722464478;N5
42429;2,722464478;N5
42429;2,722464478;N5
38464;2,722464478;N5
38464;2,722464478;N5
43177;2,722464478;N5
43177;2,722464478;N5
42447;1,516842941;N5
42447;1,516842941;N5
36841;1,516842941;N5
36841;1,516842941;N5
42447;1,516842941;N5
42447;1,516842941;N5
38465;1,516842941;N5
43241;1,516842941;N5
42447;1,516842941;N5
42447;1,516842941;N5
42447;1,516842941;N5
42447;1,516842941;N5
38465;1,516842941;N5
38465;1,516842941;N5
43241;1,516842941;N5
51332;0,803985534;N4
51332;0,803985534;N4
36842;0,693282819;N5
36842;0,693282819;N5
51329;0,693282819;N5
51329;0,693282819;N5
42658;0,367466758;N4
42658;0,367466758;N4
42658;0,367466758;N4
51768;0,126856262;N3
51768;0,126856262;N3
51768;0,126856262;N3
51768;0,126856262;N3
51768;0,126856262;N3
51768;0,126856262;N3
43255;0,126856262;N3
43255;0,126856262;N3
51768;0,126856262;N3
51768;0,126856262;N3
42455;1,020759603;N5
42455;1,020759603;N5
36843;1,020759603;N5
36843;1,020759603;N5
42455;1,020759603;N5
42455;1,020759603;N5
36170;1,020759603;N5
36170;1,020759603;N5
42455;1,020759603;N5
42455;1,020759603;N5
42623;1,020759603;N5
42455;1,020759603;N5
42455;1,020759603;N5
42623;1,020759603;N5
42623;1,020759603;N5
43257;1,020759603;N5
43257;1,020759603;N5
36844;0,31872266;N5
36844;0,31872266;N5
42511;0,16893536;N4
42511;0,16893536;N4
47681;0,16893536;N4
47681;0,16893536;N4
42511;0,16893536;N4
37302;0,058319584;N3
37302;0,058319584;N3
42460;0;N1
42460;0;N1
42460;0;N1
42460;0;N1
42460;0;N1
42460;0;N1
42460;0;N1
42460;0;N1
40296;0,654266288;N5
40296;0,654266288;N5
42518;0,654266288;N5
42518;0,654266288;N5
43280;0,654266288;N5
43280;0,654266288;N5
37303;0,654266288;N5
37303;0,654266288;N5
42518;0,654266288;N5
42464;0,030274149;N2
42464;0,030274149;N2
42464;0,030274149;N2
42464;0,030274149;N2
42464;0,030274149;N2
42464;0,030274149;N2
42464;0,030274149;N2
42464;0,030274149;N2
36938;4,956450125;N5
36938;4,956450125;N5
40303;4,956450125;N5
40303;4,956450125;N5
36938;4,956450125;N5
36938;4,956450125;N5
35913;4,956450125;N5
35913;4,956450125;N5
36938;4,956450125;N5
36938;4,956450125;N5
42521;4,956450125;N5
36938;4,956450125;N5
36938;4,956450125;N5
42521;4,956450125;N5
42521;4,956450125;N5
42333;4,956450125;N5
42333;4,956450125;N5
37014;0,826075021;N5
37014;0,826075021;N5
37014;0,826075021;N5
37014;0,826075021;N5
37014;0,826075021;N5
37014;0,826075021;N5
37014;0,826075021;N5
37014;0,826075021;N5
42527;0,826075021;N5
42527;0,826075021;N5
42527;0,826075021;N5
43403;0,826075021;N5
43403;0,826075021;N5
35948;0,826075021;N5
35948;0,826075021;N5
48106;0,47595551;N4
48106;0,47595551;N4
36943;1,652150042;N5
36943;1,652150042;N5
36943;1,652150042;N5
36943;1,652150042;N5
36943;1,652150042;N5
36943;1,652150042;N5
42403;1,652150042;N5
42403;1,652150042;N5
