IDTerminal;NOTerminal
626;Bacia de Evolução - Porto Interno
627;Tecon Suape
628;Molhe
629;Porto de Democracia
631;Porto Democracia
632;Píer Público
633;Metasa SA Indústria Metalurgica
634;Norte Log
635;Terminal Intermodal de Conchas
636;Cais Comercial 
638;Base Secundária Ipiranga de Porto Velho
639;Cais Comercial de Atracação de Barcaças
640;Sistema de Atracação de Navios - Dolphins
641;Cais 5
642;Píer de Graneis Líquidos 2
643;Píer de Graneis Líquidos 3B
644;Itaipava Itaituba
646;Rio Amazonas Terminais e Empreendimentos
647;Itaipava Icoaraci Belém
648;Terminal Itaipava Santarém
649;Campo Rico Fertilizantes Eireli
650;Terminal Dock Brasil
651;Porto De Itaituba
652;Union Armazenagem e Operações Portuárias S/A (TEV)
653;Ecoporto Santos S/A
654;Libra Terminais S/A
655;Cais Público - Ilha Barnabé
656;Terminal de Produtos Gasosos (TPG)
657;Terminal de Granéis Líquidos (TGL)
658;Terminal de Granéis Sólidos (TGS)
659;Cais Público - Saboó
660;Multi-Rio T2
661;ICTSI Rio Brasil 1
662;Atracadouro Barra Sul
663;Coari Pequi Rosneft Brasil
664;Porto 3R
665;ETC Estrada do Belmont
666;Porto Trairi
667;Porto Central Complexo Industrial e Portuário S.A.
668;Unirios
669;Ciagram Portos e Navegação da Amazônia
670;Cais Público (Ocrim)
671;Porto de Aracruz - SK Tecnologia Subaquatica Eireli
672;TCP - DOLPHIN
673;DOME - Terminais Portuários
674;Petroleo Sabba S.A. (Manaus)
675;TGB - Terminal Graneleiro da Babitonga
676;Porto da Rio Preto
677;TEAG - Terminal de Exportação de Açúcar do Guarujá
678;Porto Brasilit
679;TEG - Terminal Exportador do Guarujá
680;ETC ADM Armazens Gerais São Simão
681;TGS (Cargill)
682;Rampa Fluvial
683;Píer 100
684;Dolfins de atracação 200
685;Cais Fluvial 300
686;Terminal Petrobras Paracuru
687;Área de Fundeio
688;MFX DO BRASIL EQUIPAMENTOS DE PETROLEO LTDA 
689;LOGUM LOGÍSTICA S.A
690;INSTALAÇÃO PORTUÁRIA - PREFEITURA JURUTI
691;Estaleiro Bibi Eireli
692;Cais Público - Alamoa
693;Cais Público - Valongo
694;Cais Público - Paquetá
695;Cais Público - Outeirinhos
696;Cais Público - Macuco
697;Porto Sousa Sobrinho
698;Terminal Marítimo da Alemoa
699;Deck Panorâmico Gold Mar
700;Cais Público - Ponta da Praia
701;T-37
702;Santos Brasil
703;Porto de Santo Antônio (IP4 Fernando de Noronha)
704;TGG - Terminal de Granéis do Guarujá
705;TERMAG - Terminal Marítimo do Guarujá
706;Teaçu 1
707;Porto Belnave I
708;Teaçu 2
709;Teaçu 3
710;Porto da Sociedade Bíblica do Brasil
711;Tranship Gradim
712;Cais do Mercado de Peixes de Macaé
713;Amarena Apoio Portuário Turismo e Reparo Naval
714;Reicon Santana
715;Estaleiro Guarujá I
716;El Shadai
717;Hermar Log
718;Terminal de Outeiro
719;Terminal de Miramar
720;Cais Público
721;Marinas do Porto
722;Porto Amazonas
723;Cais Público
724;Associação dos Feirantes da Panair
725;AJATO NAVEGAÇÃO LTDA
726;Delima Belém
727;Estaleiro Guarujá II
729;Porto Unirios II
730;Navegação Nóbrega 
733;Trapiche de Canasvieiras
734;Reicon-Belém
735;Instalação de turismo da Estância Balneária de Ubatuba
736;Amazon Aço Indústria e Comércio Ltda
737;Terminal Distribuidora Equador Manaus
738;TNPM Anhembi
739;TNPM Pederneiras
740;Área de Fundeio
741;Navegação Rio Negro S/A 
742;Porto Nals Navegação Apoio Logístico e Serviços 
744;Sindicato Rural de Santarém
745;Cais Turístico da Vila
746;COOP-ACAMDAF
747;Bar Beira Rio
749;Terminais Ponta Negra
750;ATEM Miritituba
751;Hidroviária Tapajós
752;Subsea 7 do Brasil Serviços LTDA
753;município de xingu
754;Estação ADM Armazéns Gerais
755;Celso M. dos Santos – ME 
756;Prefeitura Municipal de Breves-PA
757;Trapiche Municipal de Cachoeira do Arari
758;São Domingos, Comércio e Navegação Ltda
759;W Chaves de Lima EIRELI- ME (Walmar Transportes)
760;R. R. Cardoso Melo (Porto Melo)
761;R. N. M. Barbosa Com. Navegação ME (Porto Aires)
762;Porto Custódio - Belém
763;Aquino e Morais Ltda (Porto Líder)
764;Antônio Pereira de Souza Transportes - ME (Porto Perseverança)
765;Rodofluvial Barcarena Ltda - ME (Porto Rodofluvial)
766;Waldemar Navegação Ltda (Porto Waldemar)
767;Tomé Prado Alves - ME
768;Posto Aliança
769;ETC São Simão (TNPM)
771;Porto Águia e Posto Águia
772;Terminal de Petróleo TPET/TOIL - Açu
773;Itaoca Offshore 
774;Terminal Saint-Gobain Icoaraci
775;Instalação Flutuante CELSE
776;GF Transportes & Rep. Ltda
777;S DA S DOS SANTOS EIRELI
778;Porto de Itaóca
779;Posto de Saúde Chiquinho Nabiça
780;Novo Porto Terminais Multicargas e Logísticas LTDA
781;Atracadouro da UFRA
782;Terminal Hidroviário de Gurupá
783;Terminal Portuário Novo Remanso
784;Porto Custódio
785;Terminal Fluvial Turístico Praça Princesa Isabel 
787;Porto do Grego
788;Palácio Dos Bares 
789;Atlântica Norte
790;Porto Luiz Walter
791;Beconal
792;Porto Bom Jesus
793;Porto Oliveira Nobre
794;Point do Açaí
795;Porto Navegação São Domingos
796;Posto D & E Comercio de Combustíveis Ltda
797;Sabino de Oliveira Comércio e Navegação S.A. - SANAVE
798;E V da Silva Serviços- ME
799;Aguia Pesca II Comércio de Pescados LTDA
800;Maar Navegação e Terminais Ltda
801;Rampa de Acesso da Abramex Madeiras
802;Terminal Hidroviário de Camará
803;Estaleiro Juruá
804;V. L. Navegação LTDA
805;Flutuante Apoio Lady Min
806; DSN Engenharia e Indústria Naval Ltda
807;Porto Municipal de Faro
808;Porto Municipal de Terra Santa
809;Terminal Hidroviário de Almeirim
810;Terminal Hidroviário de Vila Munguba
811;Terminal Hidroviário de Monte Dourado
812;Terminal Hidroviário de Vitória do Jari
814;Terminal Boa Esperança Cametá
815;Rampa de Santa Inês
816;LSI - Logistica S.A.
818;Estaleiro e Tornearia do Candinho
819;Industria de Madeira São Tomaz Eireli - EPP
820;Reicon Santarém
822;Hidroport Serviços Marítimos Ltda - ME
823;Coroa Grande Serviços Portuários
824;Porto Brilhante
825;Píer Terminal Janeth Dias
826;I1
827;Terminal Marítimo Comodoro Magalhães
828;Píer Estação Santa Luzia
829;Píer de Turismo da Vila do Abraão
830;Píer de Transatlântico da Passagem de Cabo Frio
831;Porto Santa Rosa
832;B. M. Castro Eireli - EPP
833;Porto São Francisco
834;Rampa de Acesso da Lacarpex
835;Trapiche do Gás
837;Lunasub Náutica Ltda
838;Estância STM
839;Porto Socorro Carvalho
840;Pipes Empreendimentos Ltda
841;Jarumã Rodofluvial
842;Itaipava S/A
843;Estaleiro de Construção e Manutenção de Embarcações
844;Marina da Glória
845;Porto Romão
846;Instalação Faros Indústria de Farinha de Ossos
847;Benedito Mutran e Cia 
848;Porto Dourado
849;Golar Power Latam
850;Porto do Posto São Benedito
851;Estaleiro Rio Maguari S/A
852;Antônio F de Carvalho EPP
853;Indústria de Esquadrias Barsa
855;Atracadouro de Ferry-boat
856;Terminal Hidroviário São Benedito
857;Instalação de Turismo PDBS
858;Posto Pompeia
859;Porto Juarez Prates
860;Porto Galo da Serra
861;Unidade Misturadora de Canoas
862;Porto de Itaituba da Caramuru Alimentos
863;Terminal Portuário de Alcântara
864;Trapiche de Icoaraci (Atracadouro público)
865;IP4 Tabatinga
866;IP4 Itacoatiara
867;Porto Rodofluvial Barcarena
868;Trapiche Municipal de Abaetetuba
869;Trapiche Municipal de Baião
870;Trapiche Municipal de Mocajuba
871;Trapiche Municipal de Santa Cruz do Arari
872;Porto Seguro
873;Porto de Apoio W X L Queen
874;Brasil Verde Esquadrias Eireli EPP
875;Porto Prates
876;Terminal Leomar
877;Barra Sul Turismo Náutico
878;Porto Caravelas
879;Keppel Singmarine do Brasil
880;Marques Pinto Navegação Ltda
881;Estaleiro Maccarini LTDA
882;Gilson Rafael Manzoli Cassini
883;Porto do Trapiche Municipal
884;Terminal de Regaseificação do Açu
885;Terminal Cargill Itaituba
886;Atracadouro de Ferry-Boat I
887;Atracadouro de Ferry-Boat II
888;Porto Macapá
889;Oceânica Empresa de Apoio à navegação Ltda
890;Porto AFC
891;Porto Barros ou Paragás
892;Porto Santa Efigenia
893;Ipiranga Comércio e Serviços Eireli - EPP
894;Estaleiro Helitec
895;Estaleiro - Detroit Brasil
896;Itahum Export
897;Itaipava S/A
898;Porto Lima Verde
899;Terminal Boa Esperança Carapajó
900;Instalação de apoio EBN Marajó
901;Expresso Aliança Mudanças, Transportes e Serviços Ltda
903;Porto de Apoio Amazon Woods
904;Super Posto São Benedito
905;R de Jesus Comércio de Madeitas Ltda
906;PORTO LÍDER
907;Henvil - Terminal Hidroviário de Belém (Icoaraci)
908;Porto Rodofluvial Barcarena I
909;Porto Leão do Marajó
910;Bemar III
911;Porto Fluvial de Muquém  de São Francisco
912;Trapiche de Soure
913;Reicon - Senador José Porfírio
914;UTE Novo Tempo Barcarena
915;Estaleiro Xpressboat
916;Jarumã - Porto Arapari
917;Sidiney Gomes
918;Porto Amazônia Transportes
919;Estaleiro Guarajá Máquinas
920;Porto Juarez Prates II
921;IP4 do Município de Autazes/AM
923;IP4 do Município de Barreirinha/AM
924;IP4 do Município de Benjamin Constant
925;IP4 de Beruri
926;IP4 de Boa Vista do Ramos
927;IP4 de Borba
928;IP4 de Canutama
929;IP4 de Caracaraí
930;IP4 de Carauari
931;IP4 de Careiro de Várzea
932;IP4 de Coari
